Model,Beta,Beta_CI,BIC,P_Value,Param1,Param2,Param3,Param4
lognormal_delta_fixed,0.26059123959804775,0.20101729318074635,5744.773352210001,0.5849304804042179,1793.8514823844102,0.26059123959804775,0.9354791813805677,2.0
lognormal,0.18785190992440623,0.2594818966064053,5755.125194668188,0.4257939775169244,1683.2864319243079,0.18785190992440623,137.40532483530964,1.315006716073753
lognormal_delta_fixed_beta_fixed,1.0,0.0,5828.59057538745,4.897051421657993e-14,4141.783104118381,1.0,1.3428326845191145,2.0
lognormal_beta_fixed,1.0,0.0,5831.5956609650375,2.1383484030194278e-20,4360.325456714513,1.0,0.2699245014631381,2.223501126919482
gaussian,0.3620567025587502,0.20629516432943595,6116.933723110835,1.1940645479975556e-57,2001.0025202396214,0.3620567025587502,0.9739408423188863,1.0
gaussian_delta_fixed,0.5579248796795001,0.2738858606253851,6117.933227960029,2.443690051005333e-63,2365.0185518476615,0.5579248796795001,37.23136839273163,0.5
gaussian_delta_fixed_beta_fixed,1.0,0.0,6171.4715646243785,6.582843187424813e-64,3204.0384031277013,1.0,43.42649230904196,0.5
gaussian_beta_fixed,1.0,0.0,6177.338036401616,6.58167580606372e-64,3204.0177763878764,1.0,43.42978875975379,0.5
person,0.4713496762008071,0.23861236351560827,11399964.9859265,0.0,0.4713496762008071,,,
person_beta_fixed,1.0,0.0,11467427.36156518,0.0,1.0,,,
